Time,Out_Irad,Out_Tem,In_Hum,Ave_Air_Tem
13/07/2023 09:18,288.6906,34.1,57.4,34.4
13/07/2023 09:23,300.6094,33.7,58.1,34.4
13/07/2023 09:28,250.5853,33.4,57.9,34.43333333
13/07/2023 09:33,295.2974,33.1,58.5,34.26666667
13/07/2023 09:38,292.409,32.7,57.8,34.2
13/07/2023 09:43,273.0451,32.7,58.7,34.2
13/07/2023 09:48,268.2062,32.6,59.2,34.36666667
13/07/2023 09:53,283.9015,32.8,59.5,34.7
13/07/2023 09:58,272.4392,32.5,59.2,34.96666667
13/07/2023 10:03,305.0914,32.4,58.7,35.06666667
13/07/2023 10:08,342.9892,32.7,58.2,35.36666667
13/07/2023 10:13,286.5326,32.9,59.2,35.63333333
13/07/2023 10:18,240.036,32.6,58.4,35.4
13/07/2023 10:23,288.9147,32,58.8,35.46666667
13/07/2023 10:28,272.7878,32.3,58.8,35.4
13/07/2023 10:33,265.5502,32.3,58.4,35.6
13/07/2023 10:38,241.6296,32.2,59.3,35.53333333
13/07/2023 10:43,208.9193,31.8,59.6,35.43333333
13/07/2023 10:48,180.0851,31.7,59.9,35.66666667
13/07/2023 10:53,89.5819,31.6,60.7,35.53333333
13/07/2023 10:58,73.4882,31.2,61.6,35.46666667
13/07/2023 11:03,68.4999,30.9,62.7,35.6
13/07/2023 11:08,68.7738,30.8,63.5,35.7
13/07/2023 11:13,66.4747,30.5,64.1,36.16666667
13/07/2023 11:18,61.1295,30.4,63.5,36.86666667
13/07/2023 11:23,53.7674,30.5,64.1,36.76666667
13/07/2023 11:28,45.1603,30.4,64.8,37
13/07/2023 11:33,25.1822,30.2,64.3,37.26666667
13/07/2023 11:38,30.1456,30,65.5,37.3
13/07/2023 11:43,32.6024,29.9,64.9,37.53333333
13/07/2023 11:48,32.9593,29.8,65.5,37.2
13/07/2023 11:53,28.2449,29.7,64.5,37.06666667
13/07/2023 11:58,23.6882,29.6,64.1,36.63333333
13/07/2023 12:03,18.9572,29.5,64.6,36.23333333
13/07/2023 12:08,15.3633,29.5,64.1,35.7
13/07/2023 12:13,13.5124,29.1,64.9,35.46666667
13/07/2023 12:18,11.5868,29,65.7,36.06666667
13/07/2023 12:23,8.9557,28.9,65.9,35.6
13/07/2023 12:28,6.1503,28.9,66,35.26666667
13/07/2023 12:33,3.7433,28.9,66.2,35.13333333
13/07/2023 12:38,2.1746,29,65.9,35.2
13/07/2023 12:43,1.2118,28.8,65.7,35.26666667
13/07/2023 12:48,0.5063,28.9,66.1,35.26666667
13/07/2023 12:53,0.3735,28.8,66,35.1
13/07/2023 12:58,0.2241,28.8,65.9,34.8
13/07/2023 13:03,0.0747,28.8,65.7,34.6
13/07/2023 13:08,0.0249,28.8,65.4,34.5
13/07/2023 13:13,0,28.8,65.6,34.43333333
13/07/2023 13:18,0,28.7,65.8,34.36666667
13/07/2023 13:23,0,28.6,65.6,34.26666667
13/07/2023 13:28,0,28.5,66,34.1
13/07/2023 13:33,0,28.3,65.9,34.03333333
13/07/2023 13:38,0,28.4,65.9,34
13/07/2023 13:43,0,28.4,65.9,33.96666667
13/07/2023 13:48,0,28.3,66.2,34.06666667
13/07/2023 13:53,0,28.4,66.1,34.1
13/07/2023 13:58,0,28.4,66.5,34.13333333
13/07/2023 14:03,0,28.3,66.4,34.43333333
13/07/2023 14:08,0,28.3,65.9,34.46666667
13/07/2023 14:13,0,28.2,65.7,35.16666667
13/07/2023 14:18,0,28.3,65.4,35.46666667
13/07/2023 14:23,0,28.3,65.2,35.4
13/07/2023 14:28,0,28.2,65,35.5
13/07/2023 14:33,0,28.2,65.3,35.86666667
13/07/2023 14:38,0,27.9,64.8,36.06666667
13/07/2023 14:43,0,28.1,64.6,36.4
13/07/2023 14:48,0,27.8,64.2,36.46666667
13/07/2023 14:53,0,27.6,64.6,36.43333333
13/07/2023 14:58,0,27.2,64.7,35.76666667
13/07/2023 15:03,0,27,63.7,35.76666667
13/07/2023 15:08,0,26.8,64.6,35.83333333
13/07/2023 15:13,0,26.7,64.8,36.06666667
13/07/2023 15:18,0,26.6,65.2,35.73333333
13/07/2023 15:23,0,26.6,64.6,35.46666667
13/07/2023 15:28,0,26.5,64.5,34.5
13/07/2023 15:33,0,26.6,64.3,33.8
13/07/2023 15:38,0,26.6,64.2,33.53333333
13/07/2023 15:43,0,26.5,64,33.2
13/07/2023 15:48,0,26.7,64.1,33.1
13/07/2023 15:53,0,26,64.5,32.9
13/07/2023 15:58,0,25.8,64.9,33.03333333
13/07/2023 16:03,0,25.5,65.1,33.46666667
13/07/2023 16:08,0,25,66.3,33.36666667
13/07/2023 16:13,0,25,67.6,33.03333333
13/07/2023 16:18,0,25,68.2,32.8
13/07/2023 16:23,0,25,69,32.6
13/07/2023 16:28,0,24.8,68.6,32.4
13/07/2023 16:33,0,24.7,68.5,32.3
13/07/2023 16:38,0,24.7,69.4,32.23333333
