timestamp,I_rad,T_out,H_air,T_air
01/08/2023 00:04,14.1884,26.4,86.9,27.1
01/08/2023 00:09,14.457,26.5,86.8,27.1
01/08/2023 00:14,15.7289,26.4,86.5,27.1
01/08/2023 00:19,18.6203,26.3,86.2,27.2
01/08/2023 00:24,22.5229,26.3,86.3,27.1
01/08/2023 00:29,24.9324,26.7,85.9,27.2
01/08/2023 00:34,28.9377,26.7,85.4,27.3
01/08/2023 00:39,31.2682,26.9,85.3,27.4
01/08/2023 00:44,31.995,27.1,84.6,27.5
01/08/2023 00:49,32.7692,27.4,84.4,27.6
01/08/2023 00:54,35.6606,27.2,84.3,27.7
01/08/2023 00:59,45.1722,27.1,83.6,27.9
01/08/2023 01:04,63.5792,27.4,83,28
01/08/2023 01:09,76.2587,27.2,82.9,28.2
01/08/2023 01:14,85.0751,27.4,82.4,28.3
01/08/2023 01:19,94.1838,27.5,82,28.6
01/08/2023 01:24,94.0653,27.8,81,28.9
01/08/2023 01:29,93.457,28.1,79.4,29.1
01/08/2023 01:34,93.7019,28.5,78.4,29.4
01/08/2023 01:39,93.5834,28.5,77.7,29.7
01/08/2023 01:44,92.2799,28.8,77.4,29.8
01/08/2023 01:49,98.0627,28.9,76.6,30
01/08/2023 01:54,105.149,29,75.5,30.2
01/08/2023 01:59,115.8456,29.4,73.4,30.6
01/08/2023 02:04,120.2538,29.4,72.1,31
01/08/2023 02:09,119.843,29.9,71,31.2
01/08/2023 02:14,128.7858,30,70.2,31.4
01/08/2023 02:19,138.6134,30.5,69.2,31.6
01/08/2023 02:24,144.7359,31.2,67.8,31.8
01/08/2023 02:29,152.7307,31.1,65.4,32.2
01/08/2023 02:34,153.8683,31.3,65,32.5
01/08/2023 02:39,155.5273,31.1,63.3,32.6
01/08/2023 02:44,152.9519,31.1,62.7,32.8
01/08/2023 02:49,161.2627,31.6,62.2,32.9
01/08/2023 02:54,163.846,31.4,60.9,33
01/08/2023 02:59,170.64,31.3,60.9,33
01/08/2023 03:04,168.9731,31.5,59.8,33.2
01/08/2023 03:09,176.565,31.7,60.2,33.1
01/08/2023 03:14,188.2017,31.6,60,33.1
01/08/2023 03:19,188.6362,31.9,59.2,33.3
01/08/2023 03:24,193.866,32.1,59,33.5
01/08/2023 03:29,187.1905,32.4,58.8,33.7
01/08/2023 03:34,191.1642,32.1,57.2,33.9
01/08/2023 03:39,187.9094,32.5,58.6,33.9
01/08/2023 03:44,187.6724,32.3,57.3,34
01/08/2023 03:49,193.9845,32.4,56.8,34.1
01/08/2023 03:54,192.8074,32.5,56.4,34.2
01/08/2023 03:59,186.4637,32.1,56.2,34.3
01/08/2023 04:04,186.3689,32.3,57.2,34.2
01/08/2023 04:09,183.122,32.6,57.5,34.2
01/08/2023 04:14,184.4887,32.9,56.1,34.5
01/08/2023 04:19,185.65,32.9,55,34.6
01/08/2023 04:24,188.9759,32.9,56.3,34.6
01/08/2023 04:29,189.8923,32.8,55.6,34.7
01/08/2023 04:34,190.2241,32.8,55.2,34.6
01/08/2023 04:39,180.8073,32.4,55.9,34.8
01/08/2023 04:44,179.7171,32.9,54.7,35.1
01/08/2023 04:49,185.6737,33.1,54.2,35.2
01/08/2023 04:54,157.1468,33,54.2,35.2
01/08/2023 04:59,165.3865,33.2,54,35.3
01/08/2023 05:04,189.3867,33.4,52.9,35.6
01/08/2023 05:09,201.213,33.4,53.2,35.8
01/08/2023 05:14,214.3191,33.6,53.4,35.9
01/08/2023 05:19,209.4527,33.3,52.1,35.9
01/08/2023 05:24,218.2217,33.5,52.2,35.9
01/08/2023 05:29,230.443,33.8,51.5,35.9
01/08/2023 05:34,219.7938,33.8,50.4,36
01/08/2023 05:39,216.1756,33.7,52,35.9
01/08/2023 05:44,206.5139,34.3,52.5,35.7
01/08/2023 05:49,211.3329,34.2,51.4,35.8
01/08/2023 05:54,216.1282,34.5,51.3,36.1
01/08/2023 05:59,231.2093,33.5,51,36.4
01/08/2023 06:04,249.6242,33.8,50.3,36.4
01/08/2023 06:09,218.0321,34.3,49.6,36.9
01/08/2023 06:14,230.0085,34.7,50,37.4
01/08/2023 06:19,238.7538,33.9,49.4,37.6
01/08/2023 06:24,238.5089,34,50.8,37.5
01/08/2023 06:29,241.3055,34.3,49.7,37.4
01/08/2023 06:34,235.1119,34.3,48.4,37.7
01/08/2023 06:39,233.6662,34.7,48.1,37.9
01/08/2023 06:44,222.6062,34.7,47.7,38.1
01/08/2023 06:49,229.3054,35.2,47.4,38
01/08/2023 06:54,238.5879,34.9,47.1,38.3
01/08/2023 06:59,741.0595,35,45.6,38.7
01/08/2023 07:04,719.7611,36,45.6,38.9
01/08/2023 07:09,754.292,35.3,46,38.7
01/08/2023 07:14,753.6916,36.1,44.8,38.8
01/08/2023 07:19,763.2269,35.8,45.3,39.1
01/08/2023 07:24,775.5904,35.9,45.1,39
01/08/2023 07:29,772.5094,35.9,44.5,38.8
01/08/2023 07:34,782.6293,36.9,43.7,38.6
01/08/2023 07:39,792.1646,38.1,43.8,38.8
01/08/2023 07:44,778.94,38.3,44.1,38.9
01/08/2023 07:49,780.678,38.1,42.8,39.1
01/08/2023 07:54,765.3994,38.7,43.1,39.5
01/08/2023 07:59,726.0969,39.3,43.3,39.5
01/08/2023 08:04,300.3422,37.3,44.5,39.2
01/08/2023 08:09,573.5321,35.9,44.8,39
01/08/2023 08:14,263.8126,36.1,46.4,38.4
01/08/2023 08:19,425.3676,35.5,47.6,38
01/08/2023 08:24,218.7826,36.1,48.5,37.5
01/08/2023 08:29,153.2126,34.7,51.3,37
01/08/2023 08:34,37.9437,33.9,54.1,35.7
01/08/2023 08:39,18.5255,31.3,57.1,34.4
01/08/2023 08:44,18.9837,30,59.4,33.3
01/08/2023 08:49,20.2635,29.3,62,32.6
01/08/2023 08:54,20.0897,28.9,64.8,32
01/08/2023 08:59,13.7065,28.4,66.1,31.8
01/08/2023 09:04,7.8526,28.6,67.3,31.4
01/08/2023 09:09,4.187,28,71.2,30.8
01/08/2023 09:14,1.9276,27.1,73.7,30.3
01/08/2023 09:19,3.1284,27.1,76.9,29.8
01/08/2023 09:24,3.318,26.4,79.2,29.4
01/08/2023 09:29,5.4668,26.2,80.6,28.5
01/08/2023 09:34,7.3944,26,79.1,28.9
01/08/2023 09:39,4.503,25.3,78.9,29.1
01/08/2023 09:44,6.6676,24.8,78,29.1
01/08/2023 09:49,7.2996,24.8,77.5,29.2
01/08/2023 09:54,5.1271,25,79,29.1
01/08/2023 09:59,5.8302,25.3,78.5,29.1
01/08/2023 10:04,5.7275,25.4,78.6,29.1
01/08/2023 10:09,6.3358,25.4,78.9,29.1
01/08/2023 10:14,6.2094,25.4,79,29
01/08/2023 10:19,6.2331,25.3,79.1,29
01/08/2023 10:24,6.5254,25.1,79.3,29
01/08/2023 10:29,6.8177,25.3,79.2,28.9
01/08/2023 10:34,7.3233,25.1,79.7,29
01/08/2023 10:39,7.9711,25.2,80.2,28.9
01/08/2023 10:44,8.5004,25.2,80,29
01/08/2023 10:49,9.2035,25.3,80.2,28.9
01/08/2023 10:54,9.7565,25.3,80.3,28.9
01/08/2023 10:59,9.875,25.3,80.1,29
01/08/2023 11:04,11.1548,25.2,80.7,29
01/08/2023 11:09,11.4866,25.1,80.7,29
01/08/2023 11:14,12.0159,25.3,80.6,29
01/08/2023 11:19,12.3556,25.2,80.8,29
01/08/2023 11:24,12.4978,25.3,81.1,29.1
01/08/2023 11:29,12.6005,25.4,81.1,29
01/08/2023 11:34,12.5531,25.5,81.1,29.1
01/08/2023 11:39,12.3082,25.3,81,29.1
01/08/2023 11:44,11.6367,25.4,81.3,29.1
01/08/2023 11:49,11.1311,25.5,81.4,29.1
01/08/2023 11:54,10.8862,25.4,81.3,29.1
01/08/2023 11:59,10.5465,25.5,81.7,29.1
01/08/2023 12:04,10.191,25.4,81.5,29.1
01/08/2023 12:09,9.8039,25.3,81.3,29.1
01/08/2023 12:14,9.4405,25.7,81.7,29.1
01/08/2023 12:19,9.0297,25.8,81.6,29.1
01/08/2023 12:24,7.6077,25.8,81.9,29.1
01/08/2023 12:29,5.1271,26,81.9,29
01/08/2023 12:34,3.3733,25.8,82,29
01/08/2023 12:39,1.3667,25.5,82.3,29
01/08/2023 12:44,0.9875,25.5,82.2,29
01/08/2023 12:49,0.6004,25.7,82.3,28.9
01/08/2023 12:54,0.3081,25.8,82.4,28.9
01/08/2023 12:59,0.1422,26,82.8,28.9
01/08/2023 13:04,0.0474,25.7,82.7,28.9
01/08/2023 13:09,0,25.7,82.9,28.9
01/08/2023 13:14,0,25.9,83.3,28.9
01/08/2023 13:19,0,26.1,83.2,28.9
01/08/2023 13:24,0,26.1,83.1,28.9
01/08/2023 13:29,0,26.2,83.1,28.9
01/08/2023 13:34,0,25.9,83.2,28.9
01/08/2023 13:39,0,26,83.5,28.9
01/08/2023 13:44,0,26.1,83.7,28.9
01/08/2023 13:49,0,26.2,83.5,28.8
01/08/2023 13:54,0,25.9,83.4,28.8
01/08/2023 13:59,0,25.8,83.3,28.8
01/08/2023 14:04,0,25.9,83.3,28.8
01/08/2023 14:09,0,25.7,83.3,28.7
01/08/2023 14:14,0,25.6,83.4,28.7
01/08/2023 14:19,0,25.6,83.4,28.7
01/08/2023 14:24,0,25.8,83.3,28.7
01/08/2023 14:29,0,25.8,82.7,28.7
01/08/2023 14:34,0,25.6,82.9,28.7
01/08/2023 14:39,0,25.5,82.9,28.7
