timestamp,I_rad,T_out,H_air,T_air
30/12/2021 00:08,0,-5.5,73.7,2.7
30/12/2021 00:18,0,-5.8,73.6,2.6
30/12/2021 00:28,0,-5.9,74.2,2.6
30/12/2021 00:38,0,-6,74,2.5
30/12/2021 00:48,0,-5.7,74.4,2.4
30/12/2021 00:58,0,-5.3,74.7,2.4
30/12/2021 01:08,0,-5.6,75.1,2.4
30/12/2021 01:18,0,-5,75.3,2.4
30/12/2021 01:28,0,-4.8,75.4,2.4
30/12/2021 01:38,0,-4.3,75.6,2.3
30/12/2021 01:48,0,-4.7,75.7,2.3
30/12/2021 01:58,0,-3.1,75.8,2.3
30/12/2021 02:08,0,-0.1,76.1,2.3
30/12/2021 02:18,0,1.1,76.5,2.4
30/12/2021 02:28,0,2.3,77,2.5
30/12/2021 02:38,0,2.9,77.1,2.7
30/12/2021 02:48,0,2.9,77.1,2.8
30/12/2021 02:58,0,2.8,76.9,2.9
30/12/2021 03:08,0,2.9,76.9,3
30/12/2021 03:18,0,2.6,76.9,3.1
30/12/2021 03:28,0,2.5,76.6,3.2
30/12/2021 03:38,0,2.4,76.4,3.2
30/12/2021 03:48,0,2.2,76.2,3.3
30/12/2021 03:58,0,2.3,76.2,3.3
30/12/2021 04:08,0,2,76.1,3.3
30/12/2021 04:18,0,1.5,76.1,3.4
30/12/2021 04:28,0,0.7,76.1,3.3
30/12/2021 04:38,0,0,76.1,3.3
30/12/2021 04:48,0,-0.1,76.1,3.3
30/12/2021 04:58,0,-0.6,76.3,3.2
30/12/2021 05:08,0,-0.8,76.4,3.1
30/12/2021 05:18,0,-0.8,76.55,3.05
30/12/2021 05:28,0,-1.1,76.7,3
30/12/2021 05:38,0,-2.3,76.6,2.8
30/12/2021 05:48,0,-3.2,76.5,2.8
30/12/2021 05:58,0,-3.9,76.4,2.6
30/12/2021 06:08,0,-3.8,76.5,2.6
30/12/2021 06:18,0,-4.5,76.6,2.5
30/12/2021 06:28,0,-4.9,76.5,2.4
30/12/2021 06:38,0,-5,76.2,2.3
30/12/2021 06:48,0,-5.9,76.1,2.1
30/12/2021 06:58,0,-6.2,76,2
30/12/2021 07:08,0.0079,-6.7,76.2,1.9
30/12/2021 07:18,0.0395,-6.3,75.8,1.8
30/12/2021 07:28,0.0711,-6.2,76,1.7
30/12/2021 07:38,0.4108,-6,76,1.7
30/12/2021 07:48,1.2561,-4.7,75.9,1.8
30/12/2021 07:58,24.4584,-3.4,75.2,1.7
30/12/2021 08:08,13.8803,-2.5,74.2,2.2
30/12/2021 08:18,17.9646,-0.5,73.3,3
30/12/2021 08:28,23.0601,0.8,75.6,2.9
30/12/2021 08:38,31.0865,1.4,74.3,3.8
30/12/2021 08:48,39.4921,1.7,72.9,4.9
30/12/2021 08:58,44.8483,2.1,71.3,5.8
30/12/2021 09:08,51.2157,2.4,68.2,7
30/12/2021 09:18,58.8629,2.7,62.8,8.3
30/12/2021 09:28,68.2876,3.1,58.9,9.6
30/12/2021 09:38,76.4404,3.4,55.7,10.9
30/12/2021 09:48,86.1258,3.6,51.9,12.2
30/12/2021 09:58,85.6202,3.9,49.6,13.2
30/12/2021 10:08,81.5359,4,47.8,13.8
30/12/2021 10:18,83.5741,4.2,46.2,14.3
30/12/2021 10:28,85.6202,4.4,43.3,15.2
30/12/2021 10:38,87.1449,4.5,41.1,16
30/12/2021 10:48,87.1449,4.7,39.6,16.6
30/12/2021 10:58,88.164,4.8,37.9,17.3
30/12/2021 11:08,95.2977,4.9,36.8,18
30/12/2021 11:18,105.4887,5.1,34.9,18.7
30/12/2021 11:28,106.0022,5.1,33.4,19.4
